Timing info

         851863 function calls (849405 primitive calls) in 22.520 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.396    0.396   22.536   22.536 test.py:3(<module>)
        1    0.101    0.101   15.581   15.581 TrackEyes.py:14(trackEyes)
      129    0.105    0.001    4.307    0.033 TrackEyes.py:63(fetchFrame)
      128    3.629    0.028    3.629    0.028 {cv2.waitKey}
      129    0.003    0.000    3.557    0.028 TrackEyes.py:56(findEyes)
      129    0.025    0.000    3.554    0.028 FindEyes.py:111(searchForEyesSVM)
       21    0.610    0.029    2.915    0.139 __init__.py:1(<module>)
      129    2.533    0.020    2.533    0.020 BasicFunctions.py:91(bgr2gray)
      129    0.385    0.003    2.138    0.017 BasicFunctions.py:144(getHog)
        1    2.081    2.081    2.081    2.081 {cv2.VideoCapture}
        1    0.008    0.008    1.862    1.862 BasicFunctions.py:3(<module>)
        1    0.090    0.090    1.839    1.839 __init__.py:253(<module>)
      128    0.001    0.000    1.462    0.011 TrackEyes.py:78(visualizeEyes)
        1    0.041    0.041    1.451    1.451 pyplot.py:17(<module>)
      128    1.443    0.011    1.443    0.011 {cv2.imshow}
      130    1.100    0.008    1.368    0.011 BasicFunctions.py:77(rescale)
      129    0.035    0.000    1.209    0.009 FindEyes.py:218(greedySearch)
        1    0.096    0.096    1.209    1.209 __init__.py:106(<module>)
     3683    0.033    0.000    1.202    0.000 FindEyes.py:381(testWindow)
        1    0.009    0.009    1.156    1.156 FindEyes.py:3(<module>)
        5    0.091    0.018    1.050    0.210 __init__.py:3(<module>)
        1    0.068    0.068    0.882    0.882 colorbar.py:20(<module>)
        1    0.009    0.009    0.843    0.843 cont2discrete.py:3(<module>)
        1    0.032    0.032    0.833    0.833 ltisys.py:4(<module>)
     3683    0.028    0.000    0.831    0.000 base.py:351(decision_function)
        1    0.003    0.003    0.814    0.814 add_newdocs.py:10(<module>)
     1161    0.016    0.000    0.814    0.001 filters.py:733(uniform_filter)
     2322    0.013    0.000    0.746    0.000 filters.py:699(uniform_filter1d)
     2322    0.704    0.000    0.704    0.000 {scipy.ndimage._nd_image.uniform_filter1d}
        1    0.016    0.016    0.693    0.693 classes.py:1(<module>)
        2    0.205    0.102    0.656    0.328 __init__.py:101(<module>)
        1    0.004    0.004    0.617    0.617 filter_design.py:2(<module>)
        1    0.097    0.097    0.613    0.613 __init__.py:171(<module>)
     3682    0.024    0.000    0.572    0.000 base.py:383(_dense_decision_function)
      258    0.004    0.000    0.562    0.002 signaltools.py:590(convolve2d)
      258    0.552    0.002    0.552    0.002 {scipy.signal.sigtools._convolve2d}
        1    0.004    0.004    0.528    0.528 type_check.py:3(<module>)
        1    0.047    0.047    0.515    0.515 collections.py:10(<module>)
    11048    0.077    0.000    0.506    0.000 validation.py:268(check_array)
        1    0.036    0.036    0.490    0.490 figure.py:12(<module>)
        1    0.072    0.072    0.439    0.439 backend_bases.py:28(<module>)
        1    0.429    0.429    0.429    0.429 {method 'release' of 'cv2.VideoCapture' objects}
        1    0.070    0.070    0.425    0.425 _subplots.py:1(<module>)
        1    0.023    0.023    0.421    0.421 _root.py:7(<module>)
        1    0.007    0.007    0.396    0.396 nonlin.py:110(<module>)
     3682    0.382    0.000    0.382    0.000 {sklearn.svm.libsvm.decision_function}
    17188    0.382    0.000    0.382    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.003    0.003    0.381    0.381 _peak_finding.py:3(<module>)
        1    0.008    0.008    0.381    0.381 bsplines.py:1(<module>)
        1    0.092    0.092    0.378    0.378 __init__.py:335(<module>)
        3    0.050    0.017    0.369    0.123 base.py:1(<module>)
     3483    0.368    0.000    0.368    0.000 {numpy.core.multiarray.where}
        1    0.050    0.050    0.357    0.357 __init__.py:582(<module>)
        1    0.100    0.100    0.348    0.348 _axes.py:1(<module>)
      129    0.335    0.003    0.335    0.003 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.133    0.133    0.325    0.325 __init__.py:6(<module>)
        1    0.003    0.003    0.308    0.308 hough_transform.py:1(<module>)
        2    0.040    0.020    0.278    0.139 __init__.py:7(<module>)
        1    0.008    0.008    0.247    0.247 stats.py:168(<module>)
        1    0.092    0.092    0.238    0.238 distributions.py:8(<module>)
     3683    0.038    0.000    0.232    0.000 data.py:370(transform)
        1    0.025    0.025    0.226    0.226 basic.py:5(<module>)
     3683    0.018    0.000    0.222    0.000 base.py:420(_validate_for_predict)
        2    0.219    0.110    0.220    0.110 {cPickle.load}
        1    0.059    0.059    0.205    0.205 __init__.py:203(<module>)
        1    0.005    0.005    0.201    0.201 orthogonal.py:79(<module>)
        1    0.054    0.054    0.197    0.197 __init__.py:155(<module>)
        1    0.008    0.008    0.196    0.196 watershed.py:25(<module>)
        1    0.037    0.037    0.184    0.184 __init__.py:157(<module>)
        1    0.030    0.030    0.182    0.182 __init__.py:105(<module>)
      264    0.001    0.000    0.173    0.001 {method 'min' of 'numpy.ndarray' objects}
        1    0.068    0.068    0.172    0.172 contour.py:4(<module>)
      264    0.001    0.000    0.172    0.001 _methods.py:28(_amin)
        1    0.067    0.067    0.170    0.170 textpath.py:3(<module>)
        1    0.002    0.002    0.165    0.165 BasicFunctions.py:11(imread)
    11048    0.054    0.000    0.164    0.000 validation.py:43(_assert_all_finite)
        3    0.080    0.027    0.161    0.054 __init__.py:4(<module>)
        1    0.067    0.067    0.147    0.147 interpolate.py:2(<module>)
        1    0.105    0.105    0.144    0.144 widgets.py:10(<module>)
    14731    0.013    0.000    0.134    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.068    0.068    0.128    0.128 memory.py:5(<module>)
        1    0.059    0.059    0.127    0.127 artist.py:1(<module>)
        2    0.058    0.029    0.126    0.063 __init__.py:45(<module>)
        1    0.029    0.029    0.125    0.125 least_angle.py:4(<module>)
        1    0.103    0.103    0.123    0.123 __init__.py:15(<module>)
    11047    0.030    0.000    0.123    0.000 validation.py:126(_shape_repr)
    14731    0.010    0.000    0.121    0.000 _methods.py:31(_sum)
        1    0.010    0.010    0.121    0.121 _continuous_distns.py:5(<module>)
        1    0.000    0.000    0.119    0.119 image.py:1204(imread)
        1    0.000    0.000    0.119    0.119 image.py:1225(pilread)
        1    0.033    0.033    0.115    0.115 utils.py:4(<module>)
        1    0.084    0.084    0.111    0.111 csr.py:1(<module>)
        1    0.062    0.062    0.111    0.111 numeric.py:1(<module>)
       86    0.003    0.000    0.110    0.001 _distn_infrastructure.py:1399(__init__)
        2    0.096    0.048    0.104    0.052 __init__.py:38(<module>)
       10    0.104    0.010    0.104    0.010 {open}
     3683    0.058    0.000    0.102    0.000 BasicFunctions.py:195(normalizeHog)
        1    0.003    0.003    0.101    0.101 _savitzky_golay.py:1(<module>)
        1    0.052    0.052    0.098    0.098 __init__.py:138(<module>)
        1    0.003    0.003    0.096    0.096 cross_validation.py:4(<module>)
      134    0.001    0.000    0.095    0.001 {method 'max' of 'numpy.ndarray' objects}
17548/17539    0.052    0.000    0.094    0.000 {method 'join' of 'str' objects}
      134    0.001    0.000    0.094    0.001 _methods.py:25(_amax)
      243    0.037    0.000    0.093    0.000 doccer.py:12(docformat)
        2    0.035    0.017    0.093    0.046 __init__.py:19(<module>)
       99    0.002    0.000    0.093    0.001 _distn_infrastructure.py:696(_construct_doc)
        1    0.042    0.042    0.093    0.093 dates.py:111(<module>)
        1    0.083    0.083    0.092    0.092 ticker.py:143(<module>)
        1    0.024    0.024    0.085    0.085 parallel.py:3(<module>)
        1    0.049    0.049    0.082    0.082 font_manager.py:21(<module>)
        1    0.005    0.005    0.081    0.081 _ellip_harm.py:1(<module>)
        1    0.044    0.044    0.081    0.081 index_tricks.py:1(<module>)
        1    0.018    0.018    0.080    0.080 tempfile.py:18(<module>)
        1    0.042    0.042    0.076    0.076 __init__.py:48(<module>)
        1    0.000    0.000    0.076    0.076 Image.py:2213(open)
        1    0.034    0.034    0.075    0.075 Image.py:340(preinit)
        1    0.045    0.045    0.075    0.075 _minimize.py:8(<module>)
        2    0.007    0.004    0.067    0.034 misc.py:1(<module>)
        1    0.002    0.002    0.064    0.064 __init__.py:8(<module>)
        1    0.059    0.059    0.063    0.063 __init__.py:85(<module>)
    38312    0.062    0.000    0.062    0.000 {numpy.core.multiarray.array}
        1    0.060    0.060    0.060    0.060 blas.py:143(<module>)
        1    0.009    0.009    0.056    0.056 random.py:40(<module>)
        1    0.015    0.015    0.055    0.055 _multiprocessing_helpers.py:5(<module>)
      251    0.002    0.000    0.055    0.000 re.py:230(_compile)
        1    0.038    0.038    0.054    0.054 urllib.py:23(<module>)
       86    0.000    0.000    0.053    0.001 re.py:192(compile)
     7366    0.028    0.000    0.053    0.000 shape_base.py:60(atleast_2d)
        1    0.027    0.027    0.052    0.052 urllib2.py:76(<module>)
       91    0.001    0.000    0.052    0.001 sre_compile.py:567(compile)
        1    0.031    0.031    0.050    0.050 Image.py:27(<module>)
     3682    0.004    0.000    0.050    0.000 Queue.py:142(put_nowait)
        1    0.038    0.038    0.049    0.049 _base.py:1(<module>)
     3483    0.012    0.000    0.049    0.000 _ni_support.py:70(_get_output)
     3682    0.015    0.000    0.046    0.000 Queue.py:107(put)
        1    0.046    0.046    0.046    0.046 hashlib.py:56(<module>)
        1    0.023    0.023    0.045    0.045 subprocess.py:14(<module>)
        1    0.043    0.043    0.045    0.045 __init__.py:88(<module>)
    11047    0.021    0.000    0.045    0.000 validation.py:105(_num_samples)
    20451    0.020    0.000    0.043    0.000 numeric.py:464(asanyarray)
        1    0.000    0.000    0.043    0.043 image.py:1317(pil_to_array)
